aisle_a,department_a,aisle_b,department_b,co_orders,share_of_orders,lift
energy granola bars,snacks,frozen breakfast,frozen,31059,0.9661031816487987,1.8145171883205482
condiments,pantry,food storage,household,6062,0.1885610446941311,1.8136914472400125
fresh pasta,dry goods pasta,bread,bakery,10151,0.3157510994210037,1.8136603865636138
coffee,beverages,mint gum,snacks,1859,0.05782497230062515,1.8126277641083335
other creams cheeses,dairy eggs,dry pasta,dry goods pasta,35609,1.107632834132846,1.8119901694389429
salad dressing toppings,pantry,tortillas flat bread,bakery,8850,0.27528295043600465,1.8113469972357819
refrigerated pudding desserts,dairy eggs,cleaning products,household,1592,0.04951982566035248,1.811278235564348
soft drinks,beverages,deodorants,personal care,2179,0.06777870610170103,1.8112066448136444
eye ear care,personal care,soft drinks,beverages,1349,0.04196120905516048,1.8091228816144873
buns rolls,bakery,preserved dips spreads,pantry,6003,0.18672582502455773,1.8090488893455396
oral hygiene,personal care,breakfast bars pastries,breakfast,1856,0.05773165604624007,1.8088434485834641
frozen meat seafood,frozen,frozen breads doughs,frozen,1506,0.046844759701313333,1.8088276188613928
candy chocolate,snacks,nuts seeds dried fruit,snacks,32615,1.01450321225653,1.8087584312713159
specialty cheeses,dairy eggs,other creams cheeses,dairy eggs,12078,0.3756912401543575,1.808751694016334
pasta sauce,dry goods pasta,other creams cheeses,dairy eggs,31184,0.9699913589148439,1.8084576380344493
specialty cheeses,dairy eggs,packaged cheese,dairy eggs,32028,0.9962443318151816,1.8081844348044802
butter,dairy eggs,dry pasta,dry goods pasta,30682,0.954376439014406,1.8081197946851923
frozen meat seafood,frozen,lunch meat,deli,12834,0.3992069362593993,1.8072684003671269
latino foods,international,frozen vegan vegetarian,frozen,2992,0.09306741104005942,1.8072319286192533
honeys syrups nectars,pantry,canned fruit applesauce,canned goods,2828,0.08796612246700804,1.806629761141015
tofu meat alternatives,deli,latino foods,international,4049,0.12594583800173817,1.8065764358610414
popcorn jerky,snacks,energy sports drinks,beverages,6373,0.19823482973205173,1.8063548546415504
digestion,personal care,cleaning products,household,1253,0.03897508891483772,1.8058015618853398
meat counter,meat,frozen appetizers sides,frozen,6448,0.20056773609167886,1.8057963684176856
honeys syrups nectars,pantry,butter,dairy eggs,8725,0.27139477316995936,1.8053754177854118
fruit vegetable snacks,snacks,frozen pizza,frozen,11532,0.35870768185627183,1.8051364582797969
cookies cakes,snacks,body lotions soap,personal care,3783,0.11767179677959386,1.803894498737507
butter,dairy eggs,spices seasonings,pantry,22557,0.7016449167214641,1.8035557686604522
frozen vegan vegetarian,frozen,dry pasta,dry goods pasta,9981,0.3104631783391822,1.8035537182034207
coffee,beverages,diapers wipes,babies,2222,0.0691162390812206,1.8034008758242845
soup broth bouillon,canned goods,canned fruit applesauce,canned goods,11686,0.36349791624803957,1.803378509594659
tofu meat alternatives,deli,soap,personal care,3261,0.10143476851658884,1.8031891486917355
indian foods,international,spices seasonings,pantry,1242,0.03863292931542574,1.8029696460376698
baby food formula,babies,yogurt,dairy eggs,70484,2.1924342913594748,1.8027303769096432
doughs gelatins bake mixes,pantry,cereal,breakfast,14909,0.46375067887575067,1.8020175843257238
bakery desserts,bakery,breakfast bakery,bakery,4074,0.12672347345494722,1.801520589069801
breakfast bakery,bakery,bread,bakery,65228,2.0289442136768034,1.8011190175459157
salad dressing toppings,pantry,baking supplies decor,pantry,1008,0.031354261473389,1.8010324309853452
refrigerated pudding desserts,dairy eggs,juice nectars,beverages,5149,0.1601617979429365,1.7999819785263769
oils vinegars,pantry,butter,dairy eggs,29269,0.9104244831990306,1.7999013811404456
poultry counter,meat,spices seasonings,pantry,11644,0.3621914886866484,1.7996602364090963
frozen meals,frozen,canned fruit applesauce,canned goods,10351,0.3219721830466762,1.7993715138908717
prepared meals,deli,canned fruit applesauce,canned goods,3820,0.11882269725034325,1.799319267721681
lunch meat,deli,pickled goods olives,pantry,19153,0.5957620734125194,1.7992620939774342
packaged seafood,seafood,asian foods,international,1594,0.049582036496609194,1.7989635303741711
condiments,pantry,ice cream toppings,snacks,1088,0.03384269492365797,1.797852750306771
granola,breakfast,nuts seeds dried fruit,snacks,13076,0.40673444744646287,1.7973252436458478
hot dogs bacon sausage,meat,meat counter,meat,10430,0.32442951107881673,1.7966626598758295
frozen vegan vegetarian,frozen,frozen produce,frozen,17324,0.5388702636557451,1.7965195762657984
cat food care,pets,salad dressing toppings,pantry,1684,0.05238152412816179,1.7962301591346197
instant foods,dry goods pasta,food storage,household,5177,0.16103274965053063,1.7957643684927882
frozen meals,frozen,dog food care,pets,3447,0.10722037628846419,1.7954869376594365
canned jarred vegetables,canned goods,other creams cheeses,dairy eggs,36752,1.143186327053564,1.7953999028751253
fresh pasta,dry goods pasta,breakfast bars pastries,breakfast,1129,0.03511801706692082,1.7951232093581142
cocoa drink mixes,beverages,cereal,breakfast,3030,0.09424941692893718,1.7944214894832957
condiments,pantry,frozen appetizers sides,frozen,17803,0.5537697589392306,1.793918801098359
grains rice dried goods,dry goods pasta,tortillas flat bread,bakery,13212,0.41096478431192013,1.7938526342108863
frozen breakfast,frozen,hot cereal pancake mixes,breakfast,16039,0.4988998013607998,1.7938406056959038
tofu meat alternatives,deli,protein meal replacements,personal care,1933,0.06012677324212395,1.793533186972678
laundry,household,canned fruit applesauce,canned goods,3474,0.10806022257792995,1.79349989375745
frozen breakfast,frozen,dry pasta,dry goods pasta,25061,0.7795328837148827,1.7931253313692883
ice cream toppings,snacks,hot dogs bacon sausage,meat,1528,0.0475290789001373,1.7930453372305115
breakfast bakery,bakery,frozen appetizers sides,frozen,20475,0.6368834361782141,1.7927679893011386
packaged meat,meat,dry pasta,dry goods pasta,4229,0.13154481326484335,1.792471218137619
doughs gelatins bake mixes,pantry,tortillas flat bread,bakery,9017,0.2804775552634411,1.792408280353031
oils vinegars,pantry,pickled goods olives,pantry,12426,0.38651592566302756,1.7922023097534256
indian foods,international,frozen pizza,frozen,1021,0.031758631909057713,1.7920860226269053
soup broth bouillon,canned goods,salad dressing toppings,pantry,12968,0.4033750622885998,1.7919255922755533
baking ingredients,pantry,kosher foods,international,1458,0.04535169963115195,1.7912176749070965
frozen pizza,frozen,lunch meat,deli,25765,0.8014310980772497,1.7905247820276726
red wines,alcohol,paper goods,household,2843,0.08843270373893347,1.7903067480121562
buns rolls,bakery,meat counter,meat,4017,0.12495046462163058,1.7902615302328306
granola,breakfast,tea,beverages,9136,0.2841791000207162,1.7902029138785929
soft drinks,beverages,more household,household,2526,0.07857228619224269,1.7892845628375422
condiments,pantry,hot dogs bacon sausage,meat,28859,0.897671261766402,1.788666424635795
prepared soups salads,deli,fresh dips tapenades,deli,11057,0.3439326082452998,1.7884723384423078
energy granola bars,snacks,nuts seeds dried fruit,snacks,40120,1.2479493753098878,1.7883125040110135
buns rolls,bakery,food storage,household,3252,0.10115481975343359,1.7876114072267801
dish detergents,household,canned fruit applesauce,canned goods,3805,0.11835611597841782,1.7864501448116792
fruit vegetable snacks,snacks,indian foods,international,1090,0.0339049057599147,1.7854309523682146
instant foods,dry goods pasta,chips pretzels,snacks,49462,1.5385361914650464,1.7852778021233775
marinades meat preparation,pantry,honeys syrups nectars,pantry,2097,0.06522806181517533,1.7850092522417722
packaged poultry,meat,preserved dips spreads,pantry,6501,0.20221632325248207,1.7844406701270037
energy granola bars,snacks,cereal,breakfast,45901,1.427769797509949,1.784433398923466
candy chocolate,snacks,fruit vegetable snacks,snacks,18399,0.5723085881437344,1.7834900727873944
spices seasonings,pantry,doughs gelatins bake mixes,pantry,8306,0.25836160297417565,1.7830777405715181
crackers,snacks,frozen pizza,frozen,28288,0.8799100680151073,1.782243203326743
instant foods,dry goods pasta,prepared meals,deli,8050,0.25039861593331497,1.7820748242872495
ice cream toppings,snacks,other creams cheeses,dairy eggs,1563,0.04861776853462998,1.7819174675555147
cold flu allergy,personal care,soup broth bouillon,canned goods,3121,0.09708000997861814,1.7817452699189102
coffee,beverages,air fresheners candles,household,1634,0.05082625322174368,1.7811078154944282
baking ingredients,pantry,canned jarred vegetables,canned goods,32339,1.0059181168531022,1.7810260314387851
crackers,snacks,frozen appetizers sides,frozen,33943,1.055811207530995,1.7809874920719966
hot dogs bacon sausage,meat,frozen dessert,frozen,2810,0.08740622494069752,1.780912362720297
spreads,pantry,bread,bakery,73021,2.2713487371511296,1.7805323787098315
salad dressing toppings,pantry,hot dogs bacon sausage,meat,13001,0.40440154108683574,1.7798742597912698
breakfast bakery,bakery,lunch meat,deli,40852,1.2707185413798487,1.7794910866043465
packaged poultry,meat,soup broth bouillon,canned goods,16987,0.5283877377464872,1.778337814837665
instant foods,dry goods pasta,air fresheners candles,household,1505,0.04681365428318497,1.7774091592871721
energy granola bars,snacks,chips pretzels,snacks,82734,2.5734756634319105,1.7772278190092194
instant foods,dry goods pasta,packaged cheese,dairy eggs,67493,2.0993979857375438,1.7763158571809832
baby food formula,babies,hot cereal pancake mixes,breakfast,11910,0.3704655299087927,1.775943954997352
buns rolls,bakery,chips pretzels,snacks,31045,0.9656677057950015,1.7757310613066966
crackers,snacks,baby food formula,babies,30209,0.9396635762396908,1.7757151228201393
instant foods,dry goods pasta,energy sports drinks,beverages,7097,0.22075515245698588,1.7757046797645208
canned meals beans,canned goods,canned fruit applesauce,canned goods,9618,0.29917191155858675,1.7751652591378935
poultry counter,meat,packaged poultry,meat,7868,0.24473742983395305,1.7749077092435663
latino foods,international,fresh dips tapenades,deli,11811,0.36738609351408485,1.7746775477061254
canned fruit applesauce,canned goods,chips pretzels,snacks,23108,0.7187840021101916,1.7746442405341758
frozen meat seafood,frozen,packaged poultry,meat,4324,0.13449982798703775,1.7740868551785351
protein meal replacements,personal care,soy lactosefree,dairy eggs,9838,0.30601510354682643,1.7739033695370212
candy chocolate,snacks,granola,breakfast,11123,0.3459855658417717,1.7732689616645867
coffee,beverages,paper goods,household,19945,0.6203975645701822,1.772106433063042
soap,personal care,frozen vegan vegetarian,frozen,2367,0.07362652470983311,1.7718725555037496
popcorn jerky,snacks,nuts seeds dried fruit,snacks,20883,0.6495744467745859,1.7717957136426232
coffee,beverages,breakfast bars pastries,breakfast,5855,0.18212222314156012,1.7717759224745069
grains rice dried goods,dry goods pasta,canned meat seafood,canned goods,4422,0.13754815896361725,1.7715116177699017
instant foods,dry goods pasta,hot cereal pancake mixes,breakfast,13243,0.41192905227389937,1.7700970603421702
coffee,beverages,tea,beverages,17959,0.558622204167255,1.769788384563772
popcorn jerky,snacks,refrigerated pudding desserts,dairy eggs,2569,0.07990981917176225,1.7697779664652649
packaged meat,meat,poultry counter,meat,2284,0.07104477500517906,1.7693520763794581
honeys syrups nectars,pantry,dish detergents,household,3133,0.09745327499615848,1.7693100958128383
frozen meals,frozen,protein meal replacements,personal care,4273,0.13291345166249127,1.7688315087890876
oils vinegars,pantry,food storage,household,6704,0.20853072313253956,1.7687484058281522
instant foods,dry goods pasta,other creams cheeses,dairy eggs,25333,0.7879935574457972,1.7685571661520276
tofu meat alternatives,deli,fresh herbs,produce,17523,0.5450602418632892,1.7685358393155295
fruit vegetable snacks,snacks,asian foods,international,11298,0.35142901401423504,1.7680863285095874
condiments,pantry,cocoa drink mixes,beverages,1927,0.05994014073335378,1.7678255076183074
packaged poultry,meat,tortillas flat bread,bakery,11397,0.35450845040894297,1.7672563039106515
bread,bakery,tortillas flat bread,bakery,52363,1.628773009455425,1.7665697705085335
energy granola bars,snacks,candy chocolate,snacks,34168,1.0628099266098765,1.7664565536609653
digestion,personal care,dish detergents,household,1219,0.03791750469847341,1.766203064679514
doughs gelatins bake mixes,pantry,hot cereal pancake mixes,breakfast,7139,0.22206158001837709,1.76565295749093
trash bags liners,household,canned meat seafood,canned goods,1031,0.03206968609034133,1.7656318605617642
breakfast bars pastries,breakfast,granola,breakfast,2933,0.09123219137048606,1.7648221176619658
white wines,alcohol,cleaning products,household,1227,0.0381663480435003,1.7642719649516212
kosher foods,international,frozen breakfast,frozen,1151,0.035802336265744784,1.7636763617439075
oral hygiene,personal care,frozen pizza,frozen,4229,0.13154481326484335,1.7634104980116405
hot dogs bacon sausage,meat,dry pasta,dry goods pasta,33650,1.0466973200193848,1.7624647416300074
fresh herbs,produce,tortillas flat bread,bakery,29766,0.9258838760088265,1.7623646860422444
pasta sauce,dry goods pasta,buns rolls,bakery,11408,0.3548506100083549,1.7618046612186327
baby accessories,babies,dry pasta,dry goods pasta,1005,0.03126094521900392,1.7611006413673462
packaged cheese,dairy eggs,canned fruit applesauce,canned goods,31445,0.9781098730463464,1.7608723434561846
butter,dairy eggs,meat counter,meat,9085,0.2825927236961697,1.7608214951696213
frozen breakfast,frozen,tortillas flat bread,bakery,19588,0.609292930298357,1.7607737950112783
hot dogs bacon sausage,meat,tortillas flat bread,bakery,26754,0.8321943566061998,1.760456560408129
breakfast bars pastries,breakfast,hot cereal pancake mixes,breakfast,4712,0.14656873022084224,1.7601830267215668
baby bath body care,babies,cereal,breakfast,1295,0.04028151647622893,1.7600857048559058
packaged meat,meat,spices seasonings,pantry,3060,0.09518257947278805,1.7597081013973412
ice cream ice,frozen,frozen meals,frozen,45891,1.4274587433286654,1.759412333221499
canned fruit applesauce,canned goods,yogurt,dairy eggs,36067,1.121879115635636,1.759374423975776
kosher foods,international,cereal,breakfast,1725,0.053656846271424634,1.7588842024333198
frozen meat seafood,frozen,fruit vegetable snacks,snacks,5540,0.17232401643112608,1.757217822419772
eggs,dairy eggs,hot dogs bacon sausage,meat,65025,2.0226298137967462,1.7563074859124872
